date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-02-21 00:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,20,25,25,23,28,75,85,1.8,1014,23,9,87,17,Vijayawada
2021-02-21 03:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,20,25,25,22,20,70,89,4.3,1013,22,7,75,12,Vijayawada
2021-02-21 06:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,21,25,25,22,17,79,91,5.3,1015,22,8,79,9,Vijayawada
2021-02-21 09:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,21,25,25,23,13,77,87,1.8,1016,23,10,86,9,Vijayawada
2021-02-21 12:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,21,26,26,24,8,67,83,1.3,1015,24,10,66,6,Vijayawada
2021-02-21 15:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,21,26,26,24,8,55,80,0.0,1013,24,10,100,6,Vijayawada
2021-02-21 18:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,21,26,26,24,9,47,81,0.0,1013,24,10,191,6,Vijayawada
2021-02-21 21:00:00,24,22,0.0,8.8,5,65,12:47 PM,01:21 AM,06:30 AM,06:12 PM,20,25,25,22,10,49,90,0.0,1014,22,10,212,6,Vijayawada
2021-02-22 00:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,20,22,23,22,7,45,92,0.0,1014,22,10,261,4,Vijayawada
2021-02-22 03:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,20,21,21,21,10,36,93,0.0,1013,21,7,355,5,Vijayawada
2021-02-22 06:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,20,22,22,22,9,60,89,0.0,1014,22,5,358,6,Vijayawada
2021-02-22 09:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,20,29,29,27,7,51,67,0.0,1016,27,10,283,6,Vijayawada
2021-02-22 12:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,18,34,34,32,8,19,43,0.0,1014,32,10,141,6,Vijayawada
2021-02-22 15:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,17,34,34,33,13,27,40,0.0,1011,33,10,161,10,Vijayawada
2021-02-22 18:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,19,31,31,29,22,17,58,0.0,1012,29,10,182,15,Vijayawada
2021-02-22 21:00:00,33,21,0.0,11.6,7,73,01:37 PM,02:13 AM,06:29 AM,06:12 PM,21,29,29,27,16,7,80,0.0,1013,27,10,193,9,Vijayawada
2021-02-23 00:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,22,26,26,24,8,4,86,0.0,1012,24,10,181,5,Vijayawada
2021-02-23 03:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,22,26,26,23,4,4,92,0.0,1011,23,10,153,3,Vijayawada
2021-02-23 06:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,21,27,27,24,5,7,86,0.0,1012,24,10,116,3,Vijayawada
2021-02-23 09:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,21,34,34,31,5,1,60,0.0,1014,31,10,152,5,Vijayawada
2021-02-23 12:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,16,36,36,35,9,2,32,0.0,1012,35,10,186,8,Vijayawada
2021-02-23 15:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,15,36,36,35,14,6,30,0.0,1009,35,10,167,11,Vijayawada
2021-02-23 18:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,17,33,33,31,23,3,48,0.0,1009,31,10,172,17,Vijayawada
2021-02-23 21:00:00,35,23,0.0,11.6,8,80,02:29 PM,03:07 AM,06:29 AM,06:13 PM,20,31,31,28,11,2,70,0.0,1011,28,10,153,8,Vijayawada
2021-02-24 00:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,21,28,28,25,9,2,82,0.0,1012,25,10,123,6,Vijayawada
2021-02-24 03:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,22,26,26,24,4,1,89,0.0,1010,24,10,112,3,Vijayawada
2021-02-24 06:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,21,27,27,24,7,0,83,0.0,1011,24,10,101,6,Vijayawada
2021-02-24 09:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,19,31,31,29,10,0,56,0.0,1013,29,10,155,9,Vijayawada
2021-02-24 12:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,14,35,35,35,12,1,29,0.0,1012,35,10,170,10,Vijayawada
2021-02-24 15:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,13,35,35,35,17,3,28,0.0,1009,35,10,163,13,Vijayawada
2021-02-24 18:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,17,31,31,30,27,1,50,0.0,1010,30,10,178,20,Vijayawada
2021-02-24 21:00:00,35,24,0.0,11.6,8,88,03:26 PM,04:01 AM,06:28 AM,06:13 PM,20,30,30,26,14,0,73,0.0,1011,26,10,175,9,Vijayawada
2021-02-25 00:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,22,27,27,25,7,0,82,0.0,1011,25,10,161,5,Vijayawada
2021-02-25 03:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,22,27,27,24,2,0,88,0.0,1010,24,10,126,2,Vijayawada
2021-02-25 06:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,21,27,27,25,3,0,83,0.0,1011,25,10,127,3,Vijayawada
2021-02-25 09:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,19,32,32,30,9,0,56,0.0,1013,30,10,164,7,Vijayawada
2021-02-25 12:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,15,36,36,36,10,1,29,0.0,1011,36,10,204,9,Vijayawada
2021-02-25 15:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,13,36,36,37,14,3,26,0.0,1008,37,10,211,11,Vijayawada
2021-02-25 18:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,16,32,32,31,23,1,44,0.0,1008,31,10,186,16,Vijayawada
2021-02-25 21:00:00,37,24,0.0,11.6,8,95,04:25 PM,04:53 AM,06:28 AM,06:13 PM,19,29,29,27,13,0,65,0.0,1010,27,10,191,9,Vijayawada
2021-02-26 00:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,21,27,27,25,9,0,77,0.0,1009,25,10,213,6,Vijayawada
2021-02-26 03:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,19,26,26,24,8,0,77,0.0,1008,24,10,254,5,Vijayawada
2021-02-26 06:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,18,27,27,25,4,0,67,0.0,1009,25,10,273,3,Vijayawada
2021-02-26 09:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,15,31,31,31,9,0,41,0.0,1010,31,10,189,8,Vijayawada
2021-02-26 12:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,11,37,37,37,12,1,21,0.0,1009,37,10,205,10,Vijayawada
2021-02-26 15:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,11,37,37,37,17,3,22,0.0,1006,37,10,200,13,Vijayawada
2021-02-26 18:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,17,32,32,31,26,2,47,0.0,1007,31,10,180,19,Vijayawada
2021-02-26 21:00:00,37,24,0.0,11.6,8,100,05:25 PM,05:43 AM,06:27 AM,06:14 PM,21,32,32,29,8,1,70,0.0,1008,29,10,206,6,Vijayawada
2021-02-27 00:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,19,27,27,25,10,0,68,0.0,1008,25,10,220,6,Vijayawada
2021-02-27 03:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,18,26,26,24,9,0,71,0.0,1007,24,10,167,5,Vijayawada
2021-02-27 06:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,18,27,27,25,6,0,66,0.0,1008,25,10,84,5,Vijayawada
2021-02-27 09:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,16,32,32,32,8,0,42,0.0,1010,32,10,179,6,Vijayawada
2021-02-27 12:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,12,38,38,39,7,2,21,0.0,1008,39,10,202,6,Vijayawada
2021-02-27 15:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,11,38,38,38,17,4,22,0.0,1006,38,10,187,13,Vijayawada
2021-02-27 18:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,16,32,32,31,27,4,44,0.0,1006,31,10,179,19,Vijayawada
2021-02-27 21:00:00,39,24,0.0,11.6,8,90,06:24 PM,06:29 AM,06:26 AM,06:14 PM,19,31,31,29,12,3,64,0.0,1008,29,10,184,7,Vijayawada
2021-02-28 00:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,20,29,29,26,11,0,72,0.0,1008,26,10,156,7,Vijayawada
2021-02-28 03:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,21,27,27,25,4,0,81,0.0,1007,25,10,78,3,Vijayawada
2021-02-28 06:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,21,28,28,26,4,0,77,0.0,1008,26,10,110,3,Vijayawada
2021-02-28 09:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,20,34,34,32,5,0,52,0.0,1011,32,10,135,5,Vijayawada
2021-02-28 12:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,14,38,38,37,10,2,26,0.0,1009,37,10,165,8,Vijayawada
2021-02-28 15:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,13,37,37,37,18,6,27,0.0,1006,37,10,170,14,Vijayawada
2021-02-28 18:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,18,31,31,30,31,5,54,0.0,1008,30,10,177,22,Vijayawada
2021-02-28 21:00:00,37,25,0.0,11.6,8,82,07:23 PM,07:14 AM,06:26 AM,06:14 PM,21,30,30,27,19,3,80,0.0,1010,27,10,164,12,Vijayawada
2021-03-01 00:00:00,36,22,0.0,11.6,8,79,08:21 PM,07:57 AM,06:25 AM,06:14 PM,22,27,27,25,8,1,88,0.0,1011,25,10,152,6,Vijayawada
2021-03-01 03:00:00,36,22,0.0,11.6,8,79,08:21 PM,07:57 AM,06:25 AM,06:14 PM,21,25,25,22,7,6,93,0.0,1010,22,10,95,4,Vijayawada
2021-03-01 06:00:00,36,22,0.0,11.6,8,79,08:21 PM,07:57 AM,06:25 AM,06:14 PM,21,27,27,24,5,8,85,0.0,1011,24,10,87,3,Vijayawada
2021-03-01 09:00:00,36,22,0.0,11.6,8,79,08:21 PM,07:57 AM,06:25 AM,06:14 PM,20,33,33,31,8,0,55,0.0,1013,31,10,140,7,Vijayawada
2021-03-01 12:00:00,36,22,0.0,11.6,8,79,08:21 PM,07:57 AM,06:25 AM,06:14 PM,13,36,36,36,15,2,26,0.0,1012,36,10,181,13,Vijayawada
2021-03-01 15:00:00,36,22,0.0,11.6,8,79,08:21 PM,07:57 AM,06:25 AM,06:14 PM,12,35,35,35,23,7,26,0.0,1009,35,10,178,19,Vijayawada
