date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-03-12 00:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,21,25,25,23,23,1,87,0.0,1014,23,10,177,12,Nellore
2021-03-12 03:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,20,22,24,22,24,2,91,0.0,1012,22,10,174,12,Nellore
2021-03-12 06:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,20,26,26,23,24,1,83,0.0,1013,23,10,168,14,Nellore
2021-03-12 09:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,18,30,30,29,21,1,56,0.0,1015,29,10,151,18,Nellore
2021-03-12 12:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,15,32,32,32,23,1,35,0.0,1014,32,10,122,20,Nellore
2021-03-12 15:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,15,31,31,31,25,0,39,0.0,1012,31,10,113,21,Nellore
2021-03-12 18:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,17,28,28,27,23,0,56,0.0,1013,27,10,115,16,Nellore
2021-03-12 21:00:00,32,22,0.0,11.6,7,0,05:41 AM,05:35 PM,06:20 AM,06:20 PM,18,26,26,24,17,0,69,0.0,1015,24,10,136,9,Nellore
2021-03-13 00:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,18,25,25,23,15,0,73,0.0,1014,23,10,182,8,Nellore
2021-03-13 03:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,17,21,23,21,17,1,75,0.0,1013,21,10,202,8,Nellore
2021-03-13 06:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,16,23,23,22,16,2,70,0.0,1014,22,10,189,9,Nellore
2021-03-13 09:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,16,29,29,28,14,0,49,0.0,1015,28,10,161,12,Nellore
2021-03-13 12:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,15,33,33,33,21,0,34,0.0,1014,33,10,125,18,Nellore
2021-03-13 15:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,16,32,32,31,25,0,40,0.0,1011,31,10,113,21,Nellore
2021-03-13 18:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,18,28,28,27,25,0,59,0.0,1012,27,10,110,17,Nellore
2021-03-13 21:00:00,33,21,0.0,11.6,7,0,06:21 AM,06:24 PM,06:19 AM,06:20 PM,20,26,26,24,21,0,75,0.0,1014,24,10,134,11,Nellore
2021-03-14 00:00:00,33,22,0.0,11.6,7,1,06:58 AM,07:12 PM,06:18 AM,06:20 PM,19,25,25,23,28,0,77,0.0,1012,23,10,185,13,Nellore
2021-03-14 03:00:00,33,22,0.0,11.6,7,1,06:58 AM,07:12 PM,06:18 AM,06:20 PM,18,22,24,22,25,0,83,0.0,1011,22,10,191,12,Nellore
2021-03-14 06:00:00,33,22,0.0,11.6,7,1,06:58 AM,07:12 PM,06:18 AM,06:20 PM,18,26,26,23,16,0,75,0.0,1012,23,10,174,10,Nellore
2021-03-14 09:00:00,33,22,0.0,11.6,7,1,06:58 AM,07:12 PM,06:18 AM,06:20 PM,17,30,30,29,19,0,50,0.0,1013,29,10,152,17,Nellore
