date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2021-02-10 00:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,29,29,26,26,24,82,0.0,1009,26,10,23,18,singapore
2021-02-10 03:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,28,28,26,27,27,84,0.0,1008,26,10,16,19,singapore
2021-02-10 06:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,28,28,25,28,22,84,0.0,1008,25,10,13,19,singapore
2021-02-10 09:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,29,29,27,24,29,79,0.0,1010,27,10,15,17,singapore
2021-02-10 12:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,33,33,29,18,39,70,0.0,1010,29,10,23,14,singapore
2021-02-10 15:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,34,34,30,15,73,69,0.4,1007,30,10,42,11,singapore
2021-02-10 18:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,32,32,28,20,70,75,1.4,1007,28,10,41,14,singapore
2021-02-10 21:00:00,30,25,0.0,8.8,7,0,05:50 AM,06:12 PM,07:17 AM,07:21 PM,23,30,30,27,26,77,82,1.4,1009,27,10,35,18,singapore
2021-02-11 00:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,29,29,26,30,77,85,0.3,1010,26,10,21,21,singapore
2021-02-11 03:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,28,28,26,28,65,86,0.3,1009,26,9,16,19,singapore
2021-02-11 06:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,28,28,25,27,30,86,0.0,1009,25,10,12,18,singapore
2021-02-11 09:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,29,29,26,23,26,80,0.0,1010,26,10,17,17,singapore
2021-02-11 12:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,32,32,29,22,33,69,0.0,1011,29,10,27,17,singapore
2021-02-11 15:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,33,33,30,25,62,66,0.4,1008,30,10,41,19,singapore
2021-02-11 18:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,31,31,28,30,66,72,0.9,1007,28,10,35,22,singapore
2021-02-11 21:00:00,30,25,0.0,8.8,6,0,06:45 AM,07:06 PM,07:17 AM,07:21 PM,23,30,30,27,31,65,80,0.6,1009,27,9,27,22,singapore
2021-02-12 00:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,22,29,29,26,29,24,80,0.0,1010,26,10,23,20,singapore
2021-02-12 03:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,23,28,28,26,28,44,82,0.0,1009,26,10,21,19,singapore
2021-02-12 06:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,23,29,29,26,28,66,84,0.0,1009,26,10,14,20,singapore
2021-02-12 09:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,23,30,30,27,27,57,80,0.0,1011,27,10,17,20,singapore
2021-02-12 12:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,23,32,32,29,26,65,70,0.1,1012,29,10,27,21,singapore
2021-02-12 15:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,22,33,33,29,30,85,66,0.4,1009,29,9,37,24,singapore
2021-02-12 18:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,22,32,32,28,31,78,70,0.4,1009,28,9,34,23,singapore
2021-02-12 21:00:00,29,26,0.0,7.4,7,0,07:37 AM,07:57 PM,07:17 AM,07:21 PM,23,30,30,27,29,75,79,0.1,1011,27,10,25,20,singapore
2021-02-13 00:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,29,29,26,30,39,80,0.0,1012,26,10,25,21,singapore
2021-02-13 03:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,28,28,26,30,56,81,0.0,1011,26,10,21,21,singapore
2021-02-13 06:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,28,28,26,29,67,80,0.0,1011,26,10,20,21,singapore
2021-02-13 09:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,29,29,27,25,55,78,0.0,1012,27,10,19,18,singapore
2021-02-13 12:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,31,31,28,21,63,73,0.0,1013,28,10,20,17,singapore
2021-02-13 15:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,31,31,28,22,26,70,0.0,1010,28,10,35,18,singapore
2021-02-13 18:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,31,31,28,27,22,73,0.0,1009,28,10,38,21,singapore
2021-02-13 21:00:00,28,26,0.0,10.2,7,5,08:24 AM,08:43 PM,07:17 AM,07:21 PM,22,29,29,26,31,35,79,0.0,1011,26,10,29,22,singapore
2021-02-14 00:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,29,29,26,31,37,79,0.0,1013,26,10,32,22,singapore
2021-02-14 03:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,28,28,26,30,60,78,0.0,1011,26,10,28,21,singapore
2021-02-14 06:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,28,28,26,28,68,77,0.0,1011,26,10,28,19,singapore
2021-02-14 09:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,29,29,27,26,55,74,0.1,1013,27,10,32,18,singapore
2021-02-14 12:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,32,32,29,21,62,68,0.0,1013,29,10,39,17,singapore
2021-02-14 15:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,32,32,29,25,80,69,0.1,1010,29,10,43,21,singapore
2021-02-14 18:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,30,30,28,31,72,73,0.2,1009,28,10,34,24,singapore
2021-02-14 21:00:00,29,26,0.0,7.4,7,12,09:08 AM,09:28 PM,07:17 AM,07:21 PM,22,28,28,26,32,44,79,0.2,1011,26,10,34,23,singapore
2021-02-15 00:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,22,28,28,25,34,33,80,0.0,1012,25,10,28,24,singapore
2021-02-15 03:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,27,27,25,31,38,81,0.0,1011,25,10,24,22,singapore
2021-02-15 06:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,27,27,25,31,40,81,0.0,1011,25,10,17,22,singapore
2021-02-15 09:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,28,28,26,29,44,75,0.0,1012,26,10,16,22,singapore
2021-02-15 12:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,31,31,28,25,46,65,0.0,1012,28,10,27,21,singapore
2021-02-15 15:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,32,32,29,26,64,63,0.0,1010,29,10,39,22,singapore
2021-02-15 18:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,30,30,27,33,44,68,0.0,1009,27,10,35,26,singapore
2021-02-15 21:00:00,29,25,0.0,10.2,7,20,09:51 AM,10:10 PM,07:17 AM,07:21 PM,21,27,27,25,33,11,75,0.0,1010,25,10,33,24,singapore
2021-02-16 00:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,21,27,27,25,30,17,79,0.0,1011,25,10,34,21,singapore
2021-02-16 03:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,21,27,27,25,27,12,80,0.0,1010,25,10,29,19,singapore
2021-02-16 06:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,21,26,26,24,27,13,80,0.0,1010,24,10,25,19,singapore
2021-02-16 09:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,20,27,27,25,27,9,74,0.0,1011,25,10,24,20,singapore
2021-02-16 12:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,20,30,30,28,23,3,61,0.0,1012,28,10,33,20,singapore
2021-02-16 15:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,20,31,31,29,27,5,56,0.0,1009,29,10,42,22,singapore
2021-02-16 18:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,20,30,30,28,32,5,62,0.0,1008,28,10,39,24,singapore
2021-02-16 21:00:00,29,24,0.0,11.6,7,27,10:31 AM,10:51 PM,07:17 AM,07:21 PM,20,27,27,25,30,2,73,0.0,1010,25,10,29,21,singapore
2021-02-17 00:00:00,29,24,0.0,11.6,7,35,11:12 AM,11:34 PM,07:16 AM,07:21 PM,20,26,26,25,28,0,76,0.0,1011,25,10,31,19,singapore
2021-02-17 03:00:00,29,24,0.0,11.6,7,35,11:12 AM,11:34 PM,07:16 AM,07:21 PM,20,26,26,24,27,4,79,0.0,1010,24,10,21,18,singapore
2021-02-17 06:00:00,29,24,0.0,11.6,7,35,11:12 AM,11:34 PM,07:16 AM,07:21 PM,20,26,26,24,28,20,82,0.0,1010,24,10,15,19,singapore
2021-02-17 09:00:00,29,24,0.0,11.6,7,35,11:12 AM,11:34 PM,07:16 AM,07:21 PM,21,27,27,25,28,24,77,0.0,1012,25,10,23,20,singapore
2021-02-17 12:00:00,29,24,0.0,11.6,7,35,11:12 AM,11:34 PM,07:16 AM,07:21 PM,20,30,30,28,25,0,61,0.0,1012,28,10,31,21,singapore
2021-02-17 15:00:00,29,24,0.0,11.6,7,35,11:12 AM,11:34 PM,07:16 AM,07:21 PM,20,31,31,29,30,0,56,0.0,1010,29,10,36,24,singapore
